Extreme price: 0.000000000024579446335408627 (sqrt: 12421259406631730198655717784, raw: 0.024579446335408626, adjustment: 0.000000001)
Extreme price: 0.000000000024617386677299235 (sqrt: 12430842313888467445850163220, raw: 0.024617386677299232, adjustment: 0.000000001)
Extreme price: 0.000000000024619167958334288 (sqrt: 12431292045279778464895478871, raw: 0.024619167958334288, adjustment: 0.000000001)
Extreme price: 0.000000000009705576529433668 (sqrt: 246825629292900434021388, raw: 0.000000000009705576529433668, adjustment: 1)
Extreme price: 0.000000000024620145938296454 (sqrt: 12431538955203977949536261411, raw: 0.024620145938296454, adjustment: 0.000000001)
Extreme price: 0.000000000024643651010963674 (sqrt: 12437471790005547696173759956, raw: 0.024643651010963673, adjustment: 0.000000001)
Extreme price: 15541429080.851511 (sqrt: 9877000124217982158630678873601742, raw: 15541429080.851511, adjustment: 1)
Extreme price: 0.00000000002465060210846678 (sqrt: 12439225750559533857535930425, raw: 0.024650602108466778, adjustment: 0.000000001)
Extreme price: 0.00000000002465068932891329 (sqrt: 12439247757199771230916059487, raw: 0.02465068932891329, adjustment: 0.000000001)
Extreme price: 0.0000000000000000008927535077194858 (sqrt: 74859231846035731899, raw: 0.0000000000000000008927535077194858, adjustment: 1)
Extreme price: 0.000000000024609223604763462 (sqrt: 12428781122699826988410396996, raw: 0.02460922360476346, adjustment: 0.000000001)
Extreme price: 0.00000000002448249512362603 (sqrt: 12396737983320811157719886525, raw: 0.02448249512362603, adjustment: 0.000000001)
Extreme price: 0.000000000024452883024976373 (sqrt: 12389238655837037347677044374, raw: 0.024452883024976373, adjustment: 0.000000001)
Extreme price: 0.00000000002441507879642697 (sqrt: 12379658051927535326966037685, raw: 0.02441507879642697, adjustment: 0.000000001)
Extreme price: 0.000000000024415621316299006 (sqrt: 12379795593429018910591844324, raw: 0.024415621316299006, adjustment: 0.000000001)
Extreme price: 752926135671.1885 (sqrt: 68747319604764255180860161984728980, raw: 752926135671.1885, adjustment: 1)
Extreme price: 0.0000000000000000009023106693444193 (sqrt: 75258859069213716653, raw: 0.0000000000000000009023106693444193, adjustment: 1)
Extreme price: 0.000000000002307585038487595 (sqrt: 120353421428901738701413, raw: 0.000000000002307585038487595, adjustment: 1)
Extreme price: 19182290066.722702 (sqrt: 347000268395452086129356462992, raw: 19.182290066722704, adjustment: 1000000000)
Extreme price: 0.000000000024405230718833083 (sqrt: 12377161067777191873227422446, raw: 0.02440523071883308, adjustment: 0.000000001)
Extreme price: 753279106145.6624 (sqrt: 68763432029076793727950455831548303, raw: 753279106145.6624, adjustment: 1)
Extreme price: 15507012686.88218 (sqrt: 9866057786547340419823128529286817, raw: 15507012686.88218, adjustment: 1)
Extreme price: 0.0000000000000000009067861515434978 (sqrt: 75445271061069829542, raw: 0.0000000000000000009067861515434978, adjustment: 1)
Extreme price: 0.000000000002169707514197082 (sqrt: 116702505554285440169730, raw: 0.000000000002169707514197082, adjustment: 1)
Extreme price: 0.000000000024380201251872348 (sqrt: 12370812567782457932667918896, raw: 0.024380201251872347, adjustment: 0.000000001)
Extreme price: 0.000000000024386044150843807 (sqrt: 12372294858209524759020042186, raw: 0.024386044150843805, adjustment: 0.000000001)
Extreme price: 0.000000000024355002116890644 (sqrt: 12364417740163931029622192532, raw: 0.024355002116890644, adjustment: 0.000000001)
Extreme price: 0.000000000024319573516647138 (sqrt: 12355421365749112970370464897, raw: 0.024319573516647135, adjustment: 0.000000001)
Extreme price: 0.000000000002380974482440963 (sqrt: 122252276280000501404397, raw: 0.000000000002380974482440963, adjustment: 1)
Extreme price: 0.000000000024309566858351783 (sqrt: 12352879191227383732455094977, raw: 0.02430956685835178, adjustment: 0.000000001)
Extreme price: 0.000000000024287644664320658 (sqrt: 12347308065763250698722927049, raw: 0.024287644664320658, adjustment: 0.000000001)
Extreme price: 0.00000000002424403210989281 (sqrt: 12336217249618238005811886855, raw: 0.02424403210989281, adjustment: 0.000000001)
Extreme price: 0.00000000000971958075860001 (sqrt: 247003638125107612988584, raw: 0.00000000000971958075860001, adjustment: 1)
Extreme price: 0.00000000002381036623877738 (sqrt: 12225387161052279251900374484, raw: 0.023810366238777376, adjustment: 0.000000001)
Extreme price: 0.000000000023672884751327554 (sqrt: 12190041261380827073517210023, raw: 0.023672884751327554, adjustment: 0.000000001)
Extreme price: 0.0000000000022384764542614256 (sqrt: 118537523323488663089787, raw: 0.0000000000022384764542614256, adjustment: 1)
Extreme price: 0.0000000000021475072926198664 (sqrt: 116103926519561415180605, raw: 0.0000000000021475072926198664, adjustment: 1)
Extreme price: 0.000000000002282692333003791 (sqrt: 119702514613737206942632, raw: 0.000000000002282692333003791, adjustment: 1)
Extreme price: 0.000000000023783682190532065 (sqrt: 12218534803816458194325436016, raw: 0.023783682190532063, adjustment: 0.000000001)
Extreme price: 0.000000000024125994069979114 (sqrt: 12306149651478916897216239768, raw: 0.024125994069979114, adjustment: 0.000000001)
Extreme price: 0.000000000024239674031551164 (sqrt: 12335108427924630053590031026, raw: 0.024239674031551164, adjustment: 0.000000001)
Extreme price: 0.0000000000006395489865724113 (sqrt: 2003625227800467584116948940, raw: 0.0006395489865724113, adjustment: 0.000000001)
Extreme price: 120295642821.85008 (sqrt: 27479228306422496007659368292005180, raw: 120295642821.85008, adjustment: 1)
Extreme price: 0.00000000002142841131905235 (sqrt: 11597772108357841331712042541, raw: 0.02142841131905235, adjustment: 0.000000001)
Extreme price: 0.000000000021187204558861098 (sqrt: 11532312799452657297571337087, raw: 0.021187204558861097, adjustment: 0.000000001)
Extreme price: 0.0000000000022370187670120232 (sqrt: 118498921448693961683889, raw: 0.0000000000022370187670120232, adjustment: 1)
Extreme price: 0.00000000002131500165113776 (sqrt: 11567040842589206551888982643, raw: 0.02131500165113776, adjustment: 0.000000001)
Extreme price: 0.000000000022160664890912264 (sqrt: 11794267592524262621629558616, raw: 0.022160664890912264, adjustment: 0.000000001)
Extreme price: 15503440429.75069 (sqrt: 9864921328933753796671510067185256, raw: 15503440429.75069, adjustment: 1)
Extreme price: 0.000000000002951695109169081 (sqrt: 136117928621095390261934, raw: 0.000000000002951695109169081, adjustment: 1)
Extreme price: 0.0000000000001823211124482996 (sqrt: 1069788844280426951788962120, raw: 0.0001823211124482996, adjustment: 0.000000001)
Extreme price: 0.00000000002220812853873462 (sqrt: 11806891300853987958837368392, raw: 0.02220812853873462, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009137641203931547 (sqrt: 75735000797873868489, raw: 0.0000000000000000009137641203931547, adjustment: 1)
Extreme price: 0.000000000022260356782626475 (sqrt: 11820766649864605563229332507, raw: 0.022260356782626473, adjustment: 0.000000001)
Extreme price: 0.000000000022834550663144228 (sqrt: 11972251149821309609723049822, raw: 0.022834550663144226, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009145598600374473 (sqrt: 75767970043786052231, raw: 0.0000000000000000009145598600374473, adjustment: 1)
Extreme price: 0.000000000022228104742202818 (sqrt: 373534569821373085117371, raw: 0.000000000022228104742202818, adjustment: 1)
Extreme price: 0.000000000024330549195656635 (sqrt: 12358209116978367497614833797, raw: 0.024330549195656633, adjustment: 0.000000001)
Extreme price: 0.000000000024314287833520998 (sqrt: 12354078612121824111886963539, raw: 0.024314287833520996, adjustment: 0.000000001)
Extreme price: 0.00000000002431509993412808 (sqrt: 12354284924374049487325673498, raw: 0.02431509993412808, adjustment: 0.000000001)
Extreme price: 0.000000000024317035424028787 (sqrt: 12354776617148140981936402788, raw: 0.024317035424028785, adjustment: 0.000000001)
Extreme price: 0.00000000002432032505060528 (sqrt: 12355612270556348354865315270, raw: 0.02432032505060528, adjustment: 0.000000001)
Extreme price: 0.000000000024324346751580203 (sqrt: 12356633813724975328774609861, raw: 0.0243243467515802, adjustment: 0.000000001)
Extreme price: 0.0000000000000000009170656491550449 (sqrt: 75871696816234741961, raw: 0.0000000000000000009170656491550449, adjustment: 1)
Extreme price: 0.000000000024329437191772293 (sqrt: 12357926703838921014857192273, raw: 0.02432943719177229, adjustment: 0.000000001)
Extreme price: 0.00000000002433419890965152 (sqrt: 12359135981330501052585871501, raw: 0.02433419890965152, adjustment: 0.000000001)
Extreme price: 0.0000000000006395152812176014 (sqrt: 2003572429820620926876223464, raw: 0.0006395152812176014, adjustment: 0.000000001)
Extreme price: 0.00000000002437493166927069 (sqrt: 12369475570173168102287045869, raw: 0.024374931669270686, adjustment: 0.000000001)
Extreme price: 0.00000000002442970438645012 (sqrt: 12383365447210609062042191161, raw: 0.02442970438645012, adjustment: 0.000000001)
Extreme price: 0.0000000000244310611036071 (sqrt: 12383709300964318021106707760, raw: 0.0244310611036071, adjustment: 0.000000001)
Extreme price: 0.000000000024434080429735443 (sqrt: 12384474501086837185573161728, raw: 0.024434080429735442, adjustment: 0.000000001)
Extreme price: 0.000000000024486610015179632 (sqrt: 12397779729452405111620188077, raw: 0.02448661001517963, adjustment: 0.000000001)
Extreme price: 0.00000000002454537062531211 (sqrt: 12412646315264762698566376140, raw: 0.024545370625312108, adjustment: 0.000000001)
Extreme price: 0.0000000000022028365688317586 (sqrt: 117590089926775182046399, raw: 0.0000000000022028365688317586, adjustment: 1)
Extreme price: 0.000000000024546115235612932 (sqrt: 12412834589346117005760263391, raw: 0.02454611523561293, adjustment: 0.000000001)
Extreme price: 0.000000000024552125654526238 (sqrt: 12414354214112729774480586972, raw: 0.024552125654526236, adjustment: 0.000000001)
